start,end
5,7
14,15
18,19
23,24
31,33
36,37
43,46
61,69
71,72
78,83
93,94
103,107
109,110
116,117
121,122
123,124
126,127
135,136
141,148
153,154
165,166
171,172
182,183
188,189
197,198
207,208
217,218
227,228
236,238
241,242
251,252
266,147
275,276
281,282
288,290
293,296
311,312
316,317
320,321
326,327
