start,end
6,10
15,18
26,33
47,48
50,52
53,54
61,62
64,72
75,76
78,79
81,87
96,97
100,101
109,110
111,113
116,119
122,123
125,128
137,138
141,142
145,147
150,151
156,157
169,171
176,177
193,200
203,207
210,212
214,215
219,221
226,227
233,237
244,245
246,248
252,260
270,271
276,281
287,291
293,297
