Start,End
6,7
13,14
22,23
28,29
37,38
41,43
43,45
47,49
73,74
80,81
87,88
106,107
123,124
135,137
147,148
160,163
167,170
176,178
195,197
200,201
203,204
213,214
219,220
231,232
260,262
270,271
306,308
