start,end
14,16
19,21
22,23
36,37
49,51
55,56
66,67
81,83
85,86
96,97
111,113
110,120
125,126
131,132
145,147
151,152
163,164
178,179
186,187
189,191
198,199
211,212
218,219
226,227
235,236
239,240
244,245
257,258
262,263
266,267
271,277
289,291
