start,end
1,7
12,13
20,22
23,24
36,44
46,48
50,55
64,66
71,75
86,88
93,101
106,107
116,118
122,124
133,134
136,138
142,143
149,158
162,163
164,168
175,177
183,186
190,195
202,203
211,216
223,224
245,247
249,250
270,271
273,283
288,296
