Start ,End
7,11
26,27
32,33
38,39
42,43
54,55
57,59
62,64
76,77
82,83
86,88
94,86
101,103
105,107
110,113
115,117
131,133
138,141
149,152
166,168
183,186
197,199
225,226
231,233
241,243
257,258
266,267
278,279
293,295
300,302
307,308
