start,end
9,10
15,16
26,28
42,45
52,53
58,60
64,65
74,75
81,82
86,87
118,119
125,126
142,144
150,152
154,155
163,164
166,167
171,174
178,179
185,188
190,191
195,198
203,205
213,214
218,219
234,235
237,238
242,243
245,250
252,253
255,257
263,264
266,267
270,271
273,281
