Start,End
0,11
18,21
24,25
41,42
48,49
53,54
58,59
66,67
83,92
94,98
104,105
108,109
131,132
136,137
139,140
142,143
157,158
173,175
180,181
187,189
194,196
200,201
206,214
224,226
231,233
235,236
