start,end
7,9
12,17
23,24
39,46
50,53
55,57
59,62
68,71
84,88
99,100
114,116
119,122
134,138
151,153
173,177
180,181
194,195
199,200
222,226
236,237
259,260
267,268
273,275
281,285
288,289
309,317
