Start,End
6,7
9,10
11,12
24,25
28,30
49,51
63,66
71,72
88,89
120,121
122,123
133,134
143,144
150,151
157,160
167,168
177,179
181,182
188,189
210,214
221,222
224,225
233,236
237,239
240,241
244,245
249,250
259,260
271,272
275,276
278,279
288,292
