Start,End
6,7
9,11
14,25
28,29
31,34
36,47
50,52
54,56
59,66
69,71
72,73
75,78
82,83
90,92
99,104
108,118
128,130
131,133
136,140
149,161
165,170
173,176
184,185
188,198
204,210
214,215
217,218
221,225
236,245
249,251
253,258
261,264
268,275
285,289
291,296
299,309
311,311
313,314
317,319
