Start,End
2,3
10,14
18,19
26,29
31,33
40,42
56,64
69,70
73,74
78,82
83,85
88,90
105,106
112,115
116,117
119,120
121,122
128,129
141,142
145,149
161,171
174,175
178,179
183,185
186,187
192,193
197,198
200,207
211,213
215,219
225,229
