59 1933.33 1 2.02096 35.9578 291.003 -0.033087 -0.322934 -0.0690913 -1.139
60 1966.67 1 -3.12194 35.0661 287.459 -0.0290453 -0.277215 -0.0752744 -1.1237
61 2000 1 -8.19537 34.2398 285.683 -0.0307793 -0.227289 -0.0815918 -1.15046
62 2033.33 1 -12.966 33.7829 284.165 -0.0390077 -0.187338 -0.0812577 -1.1755
63 2066.67 1 -16.479 33.8794 282.321 -0.0378955 -0.144996 -0.0689666 -1.16949
64 2100 1 -18.36 34.9334 281.676 -0.0287839 -0.124203 -0.0524401 -1.21773
65 2133.33 1 -18.5431 35.625 281.067 -0.0248712 -0.125487 -0.0448868 -1.23528
66 2166.67 1 -17.9906 35.7597 280.786 -0.0210303 -0.132329 -0.0438428 -1.23671
67 2200 1 -16.9341 35.5493 281.092 -0.0174226 -0.143666 -0.045786 -1.22533
68 2233.33 1 -16.0096 34.9867 281.199 -0.0174307 -0.154022 -0.050641 -1.22468
69 2266.67 1 -15.4292 34.2594 281.273 -0.0182794 -0.163768 -0.055844 -1.21628
70 2300 1 -15.2309 33.9261 281.27 -0.0184851 -0.16594 -0.0587968 -1.21541
71 2333.33 1 -15.4676 33.9969 281.238 -0.0179412 -0.16673 -0.0583307 -1.21649
72 2366.67 1 -15.773 34.1361 281.261 -0.0180508 -0.165348 -0.0570739 -1.21823
73 2400 1 -16.2801 34.1629 281.444 -0.0175954 -0.161633 -0.0551269 -1.2206
74 2433.33 1 -16.9311 34.0933 281.418 -0.0173364 -0.159364 -0.051244 -1.22042
75 2466.67 1 -17.4826 34.0345 281.334 -0.0167205 -0.156084 -0.0498022 -1.21329
76 2500 1 -18.0435 33.9692 281.35 -0.0175133 -0.151175 -0.0496062 -1.22464
77 2533.33 1 -18.722 33.8123 281.523 -0.0207504 -0.150146 -0.0540231 -1.2181
78 2566.67 1 -19.1565 33.7384 281.394 -0.0219229 -0.14965 -0.0556388 -1.21331
79 2600 1 -19.5096 33.607 281.313 -0.0219971 -0.146142 -0.0544054 -1.23085
