start,end
4,5
8,9
10,11
14,16
20,22
26,28
30,37
39,40
48,49
53,54
57,58
60,62
64,65
67,69
85,86
87,95
99,100
103,111
116,117
128,129
134,136
137,138
144,149
153,158
161,162
178,179
180,182
188,189
191,192
197,198
218,220
223,284
227,228
234,235
240,241
242,244
247,249
258,270
278,283
284,288
