video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,110,111,1,104,110,3121,3300,0.270447,0.336186,-0.905904,0.114757,0.40262,-0.83006,152.741,8.09346,508.273,0.111019,0.566123,0.0898583,1.87928,0.136327,0.597572,0.0897365,904.663,374.07,2.09,0.646829,0.87233,1.30265,0.893959,1.87317,1.00876,1.8488,2.87096,1.61562,1.38658,1.71345,0.755128,2.07096,2.91549,2.90423,1.70601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8371644998,0.716022414896
AndyWoodhull,115,116,1,111,115,3331,3450,0.453793,0.397295,-0.802729,0.260347,0.355667,-0.909645,151.027,13.9425,508.366,0.160745,0.0469019,0.0252715,1.81783,0.170436,0.0101289,0.0263175,902.165,384.346,0.434514,0.0704959,0.0,0.0,1.54714,1.64307,1.26067,1.08206,2.22774,1.69759,1.47854,1.37183,1.29526,0.516492,2.32847,2.73895,2.9904,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.88029614527,0.525995041644
AndyWoodhull,127,131,1,116,127,3481,3810,0.3865,0.382043,-0.87751,0.155959,0.432066,-0.759627,279.117,24.3207,513.129,0.281221,0.71631,0.152391,2.05231,0.31315,0.760868,0.159583,1120.73,405.87,2.89222,1.26694,1.74321,2.21969,1.0143,1.47623,1.68933,3.4342,2.34664,1.85959,1.7133,2.64715,1.03575,2.90641,3.23595,3.64732,1.93848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.815132197616,1.0
AndyWoodhull,144,145,1,131,144,3931,4320,0.383532,0.390542,-0.855302,0.203452,0.413473,-0.884416,148.065,2.83802,486.56,0.0871218,0.486961,0.168685,1.95797,0.114088,0.495151,0.173956,912.985,365.585,3.73818,1.747,0.107269,1.40601,1.78051,1.53,0.764909,1.35612,3.04853,1.70395,1.82952,2.37196,0.776813,2.18278,3.1027,3.32971,2.26047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.937485317987,0.715577910335
AndyWoodhull,154,155,1,145,154,4351,4620,0.346261,0.414371,-0.867495,0.125715,0.404901,-0.871927,176.32,6.30592,493.341,0.0975522,0.484295,0.0717446,1.93633,0.105324,0.528759,0.0770578,953.337,372.979,2.46147,1.18386,1.17664,0.779948,1.48662,1.42144,1.17244,2.2061,2.87092,1.53077,1.96224,1.95801,0.915141,1.44355,2.95158,2.97727,2.16602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88721849903,0.708630313781
AndyWoodhull,157,158,1,155,157,4651,4710,0.115069,0.436882,-0.898382,-0.0984786,0.371783,-0.875914,83.2334,0.693691,482.792,0.16735,0.400872,0.0759679,1.88261,0.184007,0.457304,0.0781292,795.006,360.372,1.95239,1.26186,0.0153308,0.998073,0.486152,0.864089,0.661723,1.29253,1.95731,0.985343,0.648387,1.17044,0.555864,1.39862,3.2196,2.5033,2.58322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.929657939906,0.676548898973
AndyWoodhull,166,168,1,158,166,4741,4980,0.291046,0.408752,-0.881082,0.111242,0.377972,-0.901594,94.8934,19.6733,486.011,0.143368,0.839808,0.208639,2.04448,0.149597,0.866579,0.211784,816.205,395.413,3.67358,1.52876,2.05691,1.48523,0.643642,2.07355,0.558229,2.85201,2.00858,1.94667,1.90222,3.42087,0.918532,3.84129,3.10432,3.63125,2.59167,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981135242024,0.759511411247
AndyWoodhull,173,174,1,168,173,5041,5190,0.601888,0.353799,-0.767409,0.451759,0.354406,-0.859907,141.244,53.1791,494.359,0.203636,-0.0606096,0.0272765,1.98362,0.195971,-0.108183,0.0352842,895.093,454.434,1.59248,0.425723,0.49866,0.0,0.750502,1.51373,0.559915,1.18782,2.28099,1.28817,0.940408,1.96508,0.797894,0.658846,3.2607,3.06729,2.74518,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.935582971165,0.60988374659
AndyWoodhull,177,181,1,174,177,5221,5310,0.0980995,0.363122,-0.928565,0.0,0.373475,-0.894145,99.641,30.9477,477.463,0.158886,0.141153,0.0379634,2.1016,0.174202,0.162291,0.038315,828.196,427.067,1.03342,0.0,0.100702,1.25465,0.618847,0.844451,0.0406335,2.84719,1.44025,0.626222,1.80137,2.7394,0.689652,1.43311,2.29107,1.97376,2.65233,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.904929150423,0.63203333508
AndyWoodhull,186,187,1,181,186,5431,5580,0.431472,0.320889,-0.843935,0.236907,0.366432,-0.925656,69.4185,21.7026,495.849,0.134906,0.449666,0.0521025,1.8618,0.153322,0.456701,0.0551074,763.332,399.522,1.11946,0.0,0.202335,0.893488,0.982295,1.58771,0.894375,1.30923,1.9133,1.64428,0.897182,1.83047,1.10569,2.07441,2.4535,2.6668,1.64382,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.713053098509,0.759286118956
