video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_2_z,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,eyebrow_raise,frown
AndyWoodhull,110,111,1,104,110,3121,3300,-0.303336,0.176774,-0.974035,-0.510763,0.119904,-0.982094,-117.961,-15.2961,466.357,-0.110604,-0.484679,-0.0989697,1.71341,-0.0896964,-0.491041,-0.100598,429.642,332.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,115,116,1,111,115,3331,3450,-0.0683932,0.205111,-0.97783,-0.26439,0.169043,-0.97108,-162.34,-9.17477,480.575,-0.245497,-0.392366,-0.0754744,1.70219,-0.235116,-0.40734,-0.08072,347.743,344.292,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0884951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,127,131,1,116,127,3481,3810,-0.356751,0.0635776,-0.996765,-0.536892,0.0301215,-0.991238,-92.1953,-22.99,425.854,-0.254642,-0.446777,-0.387425,1.6927,-0.225987,-0.44759,-0.394163,476.172,319.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,144,145,1,131,144,3931,4320,-0.242015,0.196187,-0.978122,-0.405055,0.151114,-0.980377,-157.926,-19.6991,441.985,-0.398852,-0.402543,-0.195792,1.77786,-0.38489,-0.433164,-0.197169,341.004,324.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,154,155,1,145,154,4351,4620,-0.145183,0.154452,-0.97984,-0.357821,0.161904,-0.986191,-94.8055,-30.0471,446.472,-0.359787,-0.550363,-0.28805,1.76004,-0.329058,-0.561928,-0.289961,466.427,303.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,157,158,1,155,157,4651,4710,-0.0718868,0.216314,-0.975092,-0.310963,0.232231,-0.961389,12.6657,-20.0986,455.782,-0.194612,-0.212002,-0.108058,1.77826,-0.165324,-0.200941,-0.109354,664.993,323.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
AndyWoodhull,166,168,1,158,166,4741,4980,-0.0775364,0.103341,-0.99073,-0.32099,0.187143,-0.980667,-97.3872,-24.6847,440.665,-0.253125,-0.277941,-0.254685,1.77673,-0.211961,-0.291777,-0.263567,454.287,313.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,173,174,1,168,173,5041,5190,-0.0920608,0.170051,-0.973733,-0.303825,0.179175,-0.972327,-187.733,-5.98741,440.749,-0.21072,-0.560468,-0.298071,1.78902,-0.18643,-0.608805,-0.314346,303.305,349.704,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.227058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AndyWoodhull,177,181,1,174,177,5221,5310,-0.235183,0.0,-1.0,-0.268654,0.0,-1.0,61.8776,-16.8695,409.315,-0.116253,-0.325771,-0.514128,1.80973,-0.0965592,-0.327527,-0.520033,770.757,327.998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
AndyWoodhull,186,187,1,181,186,5431,5580,0.0353402,0.170898,-0.978985,-0.208717,0.191897,-0.975612,-144.517,0.911814,467.701,-0.0454324,-0.457656,-0.180552,1.73833,-0.0362099,-0.488696,-0.180342,374.407,361.813,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0123375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
