video,laughter_start,laughter_end,laughter_value,start_segment_s,end_segment_s,start_segment_frame,end_segment_frame,gaze_0_y,gaze_1_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,p_scale,p_rx,p_ry,p_rz,p_tx,p_ty,AU01_r,AU02_r,AU04_r,AU06_r,AU07_r,AU12_r,AU14_r,AU23_r,AU26_r,AU01_c,AU04_c,AU05_c,AU06_c,AU07_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU23_c,AU25_c,AU26_c,eyebrow_raise,frown
AndyWoodhull,110,111,1,104,110,3121,3300,0.036234077,0.038444244,104.7033669,5.012990836,8.739355149,0.050767283,0.325215605,0.042908212,0.029595773,0.051477368,0.334150694,0.043080192,185.9457599,8.837712395,0.250572277,0.01403303,0.067375916,0.232789166,0.434243258,1.316688878,0.618831309,0.371951504,0.781681194,0.155555556,0.377777778,0.283333333,0.566666667,0.627777778,0.311111111,0.616666667,0.744444444,0.283333333,0.522222222,0.144444444,0.594444444,0.383333333,0.092920239,0.109338302
AndyWoodhull,115,116,1,111,115,3331,3450,0.04901539,0.041227482,78.35388945,7.419985725,6.646053685,0.113662937,0.087141528,0.028059667,0.024675811,0.112241302,0.090594078,0.030344673,139.7057312,12.7875949,0.017943055,0.001762398,0,0.48574231,0.401235257,1.088616643,0.423899378,0.067788573,0.989880358,0.091666667,0,0.033333333,0.416666667,0.483333333,0,0.316666667,0.858333333,0.533333333,0.308333333,0,0.383333333,0.75,0.106673458,0.073879608
AndyWoodhull,127,131,1,116,127,3481,3810,0.048024989,0.051526519,98.27641025,10.2051357,17.10247715,0.120020046,0.343690584,0.12703041,0.071761249,0.118780671,0.353993011,0.130038546,174.7776245,18.542179,0.762343602,0.213453046,0.207812711,0.149196659,0.146909369,0.737767757,0.384526158,0.566218101,0.784903477,0.227272727,0.472727273,0.054545455,0.281818182,0.181818182,0.272727273,0.184848485,0.53030303,0.245454545,0.312121212,0.106060606,0.360606061,0.418181818,0.084480055,0.100872823
AndyWoodhull,144,145,1,131,144,3931,4320,0.035536539,0.03900962,80.95643926,5.594780001,9.480190737,0.0834791,0.233441557,0.06193022,0.041026571,0.083505696,0.243775032,0.063406126,151.8034321,10.34252656,0.636642628,0.1886092,0.00089677,0.117520328,0.124751562,0.572120659,0.318198875,0.183211001,0.812220111,0.423076923,0.148717949,0.302564103,0.202564103,0.141025641,0.064102564,0.192307692,0.471794872,0.430769231,0.356410256,0.102564103,0.397435897,0.487179487,0.059922748,0.083469882
AndyWoodhull,154,155,1,145,154,4351,4620,0.047083401,0.051184166,76.77566026,8.756541352,10.56926443,0.11490636,0.276912888,0.091189342,0.033717698,0.111212216,0.294387897,0.093144838,139.5135273,16.06067112,0.350156315,0.077932759,0.062254406,0.310027709,0.268240193,1.181997419,0.546591481,0.14671174,0.602369084,0.148148148,0.177777778,0.074074074,0.540740741,0.359259259,0.144444444,0.425925926,0.707407407,0.288888889,0.377777778,0.144444444,0.4,0.359259259,0.084226702,0.120685829
AndyWoodhull,157,158,1,155,157,4651,4710,0.049058157,0.03836622,25.49862839,5.942206702,6.021411632,0.092044215,0.229884037,0.040199918,0.026601501,0.090918281,0.247937168,0.04076005,46.53928938,10.66864727,0.617397055,0.155434793,0.00076654,0.135335147,0.072022292,1.144290967,0.317967571,0.182779737,0.606419207,0.45,0.25,0.083333333,0.45,0.166666667,0.2,0.5,0.916666667,0.4,0.6,0.016666667,0.4,0.316666667,0.073433871,0.047205722
AndyWoodhull,166,168,1,158,166,4741,4980,0.055002156,0.04150426,54.93537028,9.812022244,9.192938627,0.088963438,0.283199043,0.096061447,0.039261988,0.083882505,0.295200142,0.098141495,101.9964686,18.18445633,0.834636526,0.289471503,0.198127979,0.07769922,0.121642673,0.539225615,0.352342723,0.484525133,0.859577649,0.425,0.379166667,0.0625,0.241666667,0.1125,0.125,0.145833333,0.4125,0.4375,0.4875,0.120833333,0.2875,0.366666667,0.083711907,0.059463063
AndyWoodhull,173,174,1,168,173,5041,5190,0.045389465,0.04304225,98.73033637,14.77226128,11.79371465,0.085368691,0.106099161,0.086190676,0.045011046,0.078754958,0.11407898,0.091134479,183.7854456,26.49121602,0.121001377,0.010487651,0.024008069,0.197086975,0.280138661,0.81767726,0.305435902,0.051970056,1.077837491,0.1,0,0.086666667,0.206666667,0.086666667,0,0.033333333,0.633333333,0.58,0.3,0.12,0.186666667,0.673333333,0.071616001,0.068069872
AndyWoodhull,177,181,1,174,177,5221,5310,0.111979821,0.129271614,7.000469369,11.81191909,10.32425614,0.063135611,0.108153395,0.107447582,0.041739627,0.059104943,0.118495195,0.10991422,12.01947485,22.8652585,0.043017078,0,0.003356733,0.062093972,0.03396003,0.222698967,0.022672108,0.097492856,0.233339756,0.2,0,0.1,0.088888889,0,0.077777778,0.022222222,0.055555556,0.133333333,0.166666667,0.044444444,0.044444444,0.122222222,0.07576484,0.070384486
AndyWoodhull,186,187,1,181,186,5431,5580,0.029053826,0.036490749,53.42430762,4.608837307,5.616284225,0.045741583,0.242911355,0.05836691,0.024619372,0.044825179,0.254685264,0.059109028,96.75480811,8.209956407,0.058032564,0,0.005607762,0.375768651,0.194090349,0.93389658,0.478816204,0.537048549,0.455768747,0.06,0.3,0.04,0.646666667,0.72,0.073333333,0.32,0.813333333,0.773333333,0.726666667,0.073333333,0.206666667,0.226666667,0.048585419,0.121466924
